16 2 0 0 37 177 57 12 2 0 69 69 4 4
16 2 0 0 36 178 57 11 2 0 67 65 4 4
16 2 0 0 38 163 57 8 2 0 63 53 3 3
15 2 0 0 39 147 58 6 2 0 63 63 4 3
15 2 0 0 38 131 58 5 2 0 69 67 3 3
14 2 0 0 37 112 57 5 2 0 68 62 2 3
14 2 0 0 29 103 57 5 2 0 74 70 3 2
14 2 0 0 27 104 56 6 2 0 66 72 3 3
14 2 0 0 29 111 53 6 2 0 71 73 2 3
14 2 0 0 29 111 50 5 2 1 73 68 3 3
15 2 0 0 35 100 47 5 2 3 69 68 4 3
14 2 0 0 39 92 45 4 2 3 73 84 3 3
15 2 0 0 41 83 44 3 2 4 71 67 4 3
14 2 0 0 43 76 46 3 2 3 67 69 4 3
14 2 0 0 39 73 49 3 2 1 69 67 3 3
13 2 0 0 36 66 52 3 2 0 71 73 3 3
13 2 0 0 33 61 53 3 2 0 68 69 3 3
13 2 0 0 31 57 53 3 2 0 68 70 3 3
13 2 0 0 29 50 53 3 2 0 73 85 1 2
13 2 0 0 24 45 55 3 2 0 84 95 1 1
13 2 0 0 20 45 56 2 2 0 88 84 1 1
13 2 0 0 22 43 57 2 2 0 81 84 2 1
13 2 0 0 23 40 58 2 2 0 79 69 2 1
13 2 0 0 26 42 59 2 2 0 71 79 1 1
13 2 0 0 31 42 58 1 2 0 70 72 2 1
13 2 0 0 35 38 58 1 2 0 79 79 2 1
13 2 0 0 36 35 59 1 2 0 79 72 2 1
13 2 0 0 37 37 61 1 2 0 63 63 3 2
13 2 0 0 35 37 60 1 2 0 66 67 1 2
13 2 0 0 31 37 59 1 2 0 81 104 1 1
13 2 0 0 25 39 60 1 2 0 77 76 1 1
13 2 0 0 20 43 59 1 2 0 75 75 1 1
14 1 0 0 24 46 56 1 2 1 82 83 2 1
15 1 0 0 28 46 55 1 2 2 77 74 2 2
16 1 0 0 33 48 59 1 2 3 69 69 3 3
16 1 0 0 34 48 60 1 2 4 67 71 4 4
17 1 0 0 35 43 66 1 2 4 68 66 4 3
17 1 0 0 38 42 66 1 2 3 67 64 4 4
17 1 0 0 36 45 64 1 2 2 70 61 4 4
16 1 0 0 34 43 63 1 2 1 66 64 4 3
16 1 0 0 30 38 66 1 2 0 70 70 3 3
15 1 0 0 25 39 61 1 2 0 77 71 2 2
15 2 0 0 23 37 62 1 2 0 77 81 2 2
15 2 0 0 24 33 61 1 2 0 83 86 2 2
14 2 0 0 23 29 62 1 2 0 83 89 3 2
14 1 0 0 24 28 62 1 2 0 88 89 2 2
14 1 0 0 24 29 62 1 2 0 87 88 1 2
14 1 0 0 27 29 59 1 2 0 84 75 1 1
14 2 0 0 31 27 59 1 2 0 84 87 1 1
14 2 0 0 33 26 60 2 2 0 87 94 1 1
